hs_code,Description,Related Companies,related_company_ticker
330410,화장품(스킨케어),LG생활건강,051900.KQ
330420,메이크업용 제품,한국콜마,161890.KQ
330499,기타 화장품류,코스맥스,192820.KQ
330510,샴푸류,아모레퍼시픽,090430.KQ
330590,기타 모발용 제품,애경산업,018250.KQ
330610,치약류,라이온코리아,
330790,기타 구강·면도용 제품,클리오,237880.KQ
340130,유기계 계면활성제,애경케미칼,161000.KQ
340290,기타 계면활성제 혼합물,LG화학,051910.KQ
340420,"세정제(면, 금속 표면 등)",애경산업,018250.KQ
350610,제품용 효소(예: 렌넷 등),알 수 없음,알 수 없음
350691,기타 조제 효소 제품,알 수 없음,알 수 없음
350790,기타 효소제 및 관련 제품,알 수 없음,알 수 없음
360610,"연소탄(예: 장난감, 기폭제)",알 수 없음,알 수 없음
370199,기타 감광 필름,삼성정밀화학(과거),알 수 없음
370500,"사진 감광지, 필름 등",알 수 없음,알 수 없음
370790,기타 사진 화학제품,알 수 없음,알 수 없음
380891,살균제,애경산업,018250.KQ
380892,"방충제, 살충제",경농,002100.KQ
381239,가공유용 첨가제(비윤활),한솔케미칼,014680.KQ
381400,용접제 플럭스,알 수 없음,알 수 없음
381800,화학적 분석 시약,알 수 없음,알 수 없음
382219,혼합 유기 화합물,LG화학,051910.KQ
382490,기타 화학공업 생산품,LG화학,051910.KQ
382499,기타 정밀화학 제품,한화솔루션,009830.KS
382600,바이오디젤 혼합물,에코프로에이치엔,383310.KQ
390110,LDPE(저밀도 폴리에틸렌),금호석유화학,011780.KS
390120,LDPE 혼합물,LG화학,051910.KQ
390130,LDPE 이외의 에틸렌중합체,한화솔루션,009830.KS
390140,에틸렌-알파올레핀 공중합체,롯데케미칼,011170.KQ
390190,기타 에틸렌 중합체,LG화학,051910.KS
390210,프로필렌 중합체(폴리프로필렌),롯데케미칼,011170.KQ
390220,폴리이소부틸렌,알 수 없음,
390230,프로필렌의 기타 중합체,알 수 없음,
390290,기타 올레핀계 중합체,알 수 없음,
390319,"스타이렌 중합체, 폴리스타이렌",대한유화,006650.KS
390320,스티렌-아크릴 중합체,알 수 없음,
390330,아크릴로니트릴-부타디엔-스타이렌(ABS),LG화학,051910.KS
390390,기타 스티렌 중합체,알 수 없음,
390410,폴리염화비닐(PVC),LG화학,051910.KS
390610,폴리메틸메타크릴레이트(PMMA),이구산업,025820.KQ
390690,기타 아크릴 중합체,알 수 없음,
390710,페놀-포름알데히드 수지,알 수 없음,
390729,기타 아세탈수지,알 수 없음,
390730,에폭시 수지,금호석유,011780.KS
390740,폴리카보네이트,롯데케미칼,011170.KQ
390761,폴리테트라플루오로에틸렌(PTFE),알 수 없음,
390769,기타 플루오르 중합체,알 수 없음,
390799,기타 폴리아미드 수지,알 수 없음,
390810,"폴리아미드-6,6",효성티앤씨,298020.KQ
390931,불포화 폴리에스터,LG화학,051910.KS
390950,폴리우레탄,금호석유,011780.KS
391000,실리콘,엘켐텍,
391110,석유수지,애경케미칼,161000.KQ
391190,천연 중합체(기타),모름,
391239,아세탈 수지,코오롱플라스틱,138490.KQ
391810,바닥피복용 플라스틱 타일,LG하우시스,108670.KQ
391910,플라스틱 접착 시트,이녹스첨단소재,272290.KQ
391990,기타 접착성 플라스틱 시트,이엔드디,101360.KQ
392010,"폴리에틸렌 시트, 필름",동성화학,
392020,"폴리프로필렌 시트, 필름",효성화학,298000.KQ
392049,기타 플라스틱 필름,SKC,011790.KS
392051,플라스틱-폴리카보네이트 필름,코오롱인더,120110.KS
392062,플라스틱-폴리카보네이트 판,코오롱인더,120110.KS
392099,기타 플라스틱 시트 및 판,SKC,011790.KS
392119,셀룰로오스 시트,모름,
392190,"기타 플라스틱 판, 시트",세경하이테크,148150.KQ
392310,플라스틱 상자 및 케이스,모름,
392321,플라스틱 백(폴리에틸렌),태광산업,003240.KS
392330,플라스틱 병,동성화인텍,033500.KQ
392390,Plastic articles for the conveyance or packing of goods,삼성케미칼,A010950
392630,"Fittings for furniture, coachwork or the like, of plastics",락앤락,A115390
392690,Other articles of plastics and articles of other materials of headings 39.01 to 39.14,세경하이테크,A148150
400219,"Synthetic rubber and factice derived from oils, in primary forms or in plates",넥센,A002350
400220,"Butadiene rubber (BR), in primary forms",한국타이어앤테크놀로지,A161390
400251,Chloroprene rubber (CR),한솔케미칼,A014680
400259,Other chloroprene rubbers,알 수 없음,
400270,Ethylene-propylene-non-conjugated diene rubber (EPDM),효성첨단소재,A298050
401110,"New pneumatic tyres, of rubber, of a kind used on motor cars",넥센타이어,A002350
401120,"New pneumatic tyres, of rubber, of a kind used on buses or lorries",한국타이어,A161390
401693,"Gaskets, washers and other seals, of vulcanised rubber",덕산하이메탈,A077360
401699,Other articles of vulcanised rubber other than hard rubber,알 수 없음,
410792,Leather further prepared after tanning or crusting,에스콰이아,A069330
470329,"Chemical wood pulp, soda or sulphate, non-coniferous",무림P&P,A009580
470710,Recovered (waste and scrap) paper or paperboard,한솔제지,A213500
480511,Semi-chemical fluting paper,무림SP,A001810
480990,Other paper and paperboard,한국제지,A002300
481019,"Paper and paperboard, coated with kaolin or other inorganic substances",페이퍼코리아,A001020
481092,Multi-ply paper and paperboard,세하,A027970
481190,기타 인쇄용지,한솔제지,213500.KQ
490199,기타 인쇄물,,
540211,합성필라멘트사 (나일론),효성티앤씨,298020.KQ
540247,"합성필라멘트사 (폴리에스터, 고강력)",효성티앤씨,298020.KQ
540249,기타 폴리에스터 필라멘트사,휴비스,079980.KQ
540752,"합성필라멘트직물 (폴리에스터, 염색)",티케이케미칼,104480.KQ
540761,"합성필라멘트직물 (폴리에스터, 백색)",,
540792,기타 합성필라멘트직물,,
550320,폴리에스터 스테이플섬유,휴비스,079980.KQ
560122,합성섬유 부직포,웰크론,065950.KQ
560394,기타 합성섬유 부직포,,
560749,기타 레이스,,
590320,폴리염화비닐 침투 직물,코오롱인더,120110.KQ
590390,기타 고무화 직물,,
591110,직조된 방직용 천,,
600410,편직물 (스티치 본딩 등),,
600537,"편직물 (폴리에스터, 염색)",,
600622,기타 편직물 (합성섬유),,
600632,기타 편직물 (폴리에스터 등),,
610910,티셔츠 (면),한세실업,105630.KQ
620240,여성용 또는 소녀용 재킷 및 블레이저,한세실업,105630.KQ
621710,"의복 부속품 (레이스, 브레이드 등)",일신방직,003200.KQ
621790,기타 의복 부속품,태평양물산,007980.KQ
630293,합성섬유제 침구류,웰크론,065950.KQ
630710,청소용 천 제품,크린앤사이언스,045520.KQ
630900,중고 의류,알 수 없음,
680421,연마재를 붙인 천연석/인조석,케이피에프,024880.KQ
681511,"섬유강화 시멘트, 콘크리트",알 수 없음,
690919,도기제 위생용기,대림비앤코,005750.KQ
691490,기타 도자기 제품,알 수 없음,
700319,기타 주조 또는 압연 유리,KCC글라스,344820.KQ
700490,유리 판,SGC에너지,005090.KQ
700529,복층 유리,한국유리,002000.KQ
700600,유리 슬랩 및 시트,알 수 없음,
701349,유리제 식기류,아트라스BX,023890.KQ
702000,유리 기타 제품,알 수 없음,
710510,"다이아몬드, 가공되지 않음",알 수 없음,
710610,"은, 가공되지 않음",알 수 없음,
710691,기타 은의 반제품,알 수 없음,
710812,"금, 가공된 형태",알 수 없음,
710813,기타 귀금속 장신구,골든듀,
711021,은제 장신구,한국귀금속,
711292,기타 비금속 장신구,,
711319,기타 보석류 장신구,골든듀,
711890,귀금속 또는 금속제품 부속품,,
720270,철 스크랩,세아메탈,A019410
720712,슬래브 철강 제품,현대제철,A004020
720826,열연 철판,포스코홀딩스,A005490
720827,열연 철판 (기타),포스코홀딩스,A005490
720836,냉연 철판,동국제강,A001230
720837,냉연 철판 (기타),동국제강,A001230
720838,도금강판,세아제강,A003030
720839,도금강판 (기타),세아제강,A003030
720851,고강도 합금강,포스코인터내셔널,A047050
720852,고강도 합금강 (기타),포스코인터내셔널,A047050
720916,냉간 압연강판,현대제철,A004020
720917,냉간 압연강판 (기타),현대제철,A004020
720918,냉간 압연강판 (기타),현대제철,A004020
721012,도금강판 (용융도금),세아제강,A003030
721030,아연 도금강판,동국제강,A001230
721049,도금강판,포스코홀딩스,005490.KQ
721061,도금강판,포스코홀딩스,005490.KQ
721069,도금강판,세아제강지주,003030.KQ
721070,도금강판,현대제철,004020.KQ
721240,도금강판,포스코인터내셔널,047050.KQ
721391,도금강판,동국제강,001230.KQ
721633,"프로파일, 형강",세아베스틸,001430.KQ
721710,철강선,대한제강,084010.KQ
721730,철강선,현대제철,004020.KQ
721912,냉간압연강판,포스코홀딩스,005490.KQ
721913,냉간압연강판,현대제철,004020.KQ
721933,냉간압연강판,동국제강,001230.KQ
721934,냉간압연강판,세아제강지주,003030.KQ
722020,스테인리스강 평판압연제품,포스코홀딩스,005490.KQ
722300,기타 합금강 평판압연제품,세아창원특수강,001430.KQ
722519,스테인리스강 봉,세아제강,003030.KQ
722530,기타 합금강 봉,세아베스틸,001430.KQ
722550,기타 합금강 봉,현대제철,004020.KQ
722592,기타 합금강,포스코홀딩스,005490.KQ
722599,기타 합금강,세아창원특수강,001430.KQ
722790,기타 열간 압연의 스테인리스강 평판압연제품,포스코홀딩스,005490.KQ
722830,기타 합금강으로 만든 열간 압연 평판압연제품,세아제강지주,003030.KQ
722990,기타 합금강으로 만든 평판압연제품,동국제강,001230.KQ
730511,천공 또는 나사산 절삭용 강철 파이프,세아제강,306200.KQ
730512,용접된 라인파이프,세아제강,306200.KQ
730531,"기타 파이프, 내부 및 외부 나사선 있음",화인베스틸,133820.KQ
730629,철강제 튜브 및 파이프 피팅,성광벤드,014620.KQ
730630,철강제 파이프 커넥터,성광벤드,014620.KQ
730640,기타 강관 피팅류,성광벤드,014620.KQ
730729,기타 강관 및 튜브 악세서리,태웅로직스,124560.KQ
730791,플랜지(flanges),성광벤드,014620.KQ
730793,"엘보우(elbows), 벤드(bends)",성광벤드,014620.KQ
730799,기타 철강제 연결구,성광벤드,014620.KQ
730840,프로펠러 샤프트 및 크랭크 샤프트,태웅,044490.KQ
730890,기타 철강 구조물,한진중공업,097230.KQ
730900,"탱크, 통, 드럼(금속제)",케이씨,029460.KQ
731100,철강제 콘테이너,동방,004140.KQ
731210,철강제 와이어,한국철강,104700.KQ
731815,나사못,삼영엠텍,054540.KQ
731816,볼트 및 너트,삼영엠텍,054540.KQ
731940,"스테이플, 리벳",삼영엠텍,054540.KQ
732182,철강제 취사용 주방용품,PN풍년,024940.KQ
732290,철강제 가정용품 기타,락앤락,115390.KQ
732690,철강제 기타 제품,세아베스틸,001430.KQ
740200,정제 동,LS,006260.KQ
740311,동의 정 또는 블룸,풍산,103140.KQ
740321,동의 막대 및 봉,풍산,103140.KQ
740400,동의 스크랩,고려아연,010130.KQ
740721,"동선 (압연, 연신된 것)",LS ELECTRIC,010120.KQ
740811,동의 와이어 (정제동),LS,006260.KQ
740819,동의 기타 와이어,대창,012800.KQ
740911,정제동판,풍산,103140.KQ
740921,"동의 판, 시트, 스트립",대창,012800.KQ
740990,"기타 동판, 시트, 스트립",대창,012800.KQ
741011,동의 호일 (백금 미포함),풍산,103140.KQ
741021,동의 호일 (백금 포함),해당 없음,
741110,동의 파이프,대창,012800.KQ
741980,기타 동제 제품,풍산,103140.KQ
741999,기타 동제품,풍산,103140.KQ
760120,알루미늄 합금괴,조일알미늄,018470.KQ
760612,알루미늄 합금의 평판 압연제품,남선알미늄,008350.KQ
760711,"알루미늄 호일, 두께 0.2mm 이하, 뒷면 미처리",하이브론,037320.KQ
761090,기타 알루미늄 구조물,대한알루미늄,
761699,기타 알루미늄 제품,삼아알미늄,006110.KQ
780110,정제되지 않은 납,영풍,000670.KQ
780199,기타 납,고려아연,010130.KQ
790111,"정제된 아연, 함량 99.99% 이상",고려아연,010130.KQ
790112,"정제된 아연, 기타",영풍,000670.KQ
790120,아연 합금,현대비앤지스틸,004560.KQ
820730,가공용 공구 (드릴링),씨앤지하이테크,264660.KQ
820740,탭핑용 공구,씨앤지하이테크,264660.KQ
820750,밀링용 공구,디에이테크놀로지,196490.KQ
820770,보링 및 리밍용 공구,,
820900,기계식 공구 셋트,신성델타테크,065350.KQ
830230,금속제 기타 힌지,,
831120,"용접봉, 코어 포함",현대비앤지스틸,004560.KQ
840130,핵 반응기 부속품,두산에너빌리티,034020.KS
840310,보일러 (중앙난방용),경동나비엔,009450.KS
840410,보일러용 보조기기,경동나비엔,009450.KS
840510,"가열기, 열교환기",삼강엠앤티,100090.KQ
840690,기타 증기 또는 기타 동력 보일러의 부분품,두산에너빌리티,034020.KQ
840733,"점화 방식 내연기관, 실린더 수 3개 이하",현대자동차,005380.KQ
840734,"점화 방식 내연기관, 실린더 수 4개 이상",현대모비스,012330.KQ
840810,디젤 또는 반디젤 엔진,현대두산인프라코어,042670.KQ
840890,기타 압축점화식 피스톤 내연기관,현대로템,064350.KQ
840991,점화식 피스톤 내연기관의 부품,한온시스템,018880.KQ
840999,기타 피스톤식 내연기관 부품,만도,204320.KQ
841112,터보제트 엔진,한화에어로스페이스,012450.KQ
841191,항공기 엔진 부품,한화에어로스페이스,012450.KQ
841221,유압식 파워엔진 및 실린더,SNT모티브,064960.KQ
841229,기타 유압식 파워엔진,SNT모티브,064960.KQ
841330,연료펌프,만도,204320.KQ
841360,기타 액체펌프,현대위아,011210.KQ
841370,원심펌프,현대위아,011210.KQ
841391,펌프 부품,현대모비스,012330.KQ
841410,진공펌프,에스코넥,096630.KQ
841430,기체 압축기,현대일렉트릭,267260.KQ
841459,기타 송풍기 및 팬,에어텍,196170.KQ
841480,"기타 에어펌프, 공기압축기",오리엔트정공,065500.KQ
841490,위 기기의 부품,에어텍,196170.KQ
841510,에어컨(냉방기기),"삼성전자, LG전자","005930.KQ, 066570.KQ"
841590,에어컨 부속품,위닉스,044340.KQ
841810,냉장고,위니아,071460.KQ
841830,냉동고,LG전자,066570.KQ
841840,냉장·냉동 장비,삼성전자,005930.KQ
841869,기타 냉장·냉동 기계,대유위니아,071460.KQ
841899,냉장·냉동 기계 부품,삼성전자,005930.KQ
841939,기타 건조기,한일전기,043220.KQ
841940,증류기 및 기타 장비,알 수 없음,
841950,열 교환기,일진홀딩스,015860.KQ
841989,기타 기계장비,알 수 없음,
841990,기계장비 부품,알 수 없음,
842121,수처리용 여과기,코웨이,021240.KQ
842131,자동차용 공기 필터,동아정공,028100.KQ
842139,기타 여과기,청호나이스,
842199,여과기 부품,알 수 없음,
842211,식기세척기,LG전자,066570.KQ
842410,소화기,화인텍,126880.KQ
842489,기타 분무기기,알 수 없음,
842611,천정용 크레인,알 수 없음,
842691,유압식 크레인,두산밥캣,241560.KQ
842710,자재운반용 트럭(지게차 포함),클라크,
842720,컨테이너 운반용 리치스태커,,
842810,리프트 및 호이스트,성창기계,
842833,컨베이어 시스템 부품,,
842839,기타 연속 운반기,,
842890,기타 운반·취급기계,에스에프에이,056190.KQ
842951,전기식 불도저,,
842952,전기식 로더,,
843041,곡물 세척기,,
843069,기타 농업용 기계,대동,000490.KQ
843120,트랙터 부품,LS엠트론,
843139,기타 농기계 부품,,
843149,기타 건설기계 부품,현대건설기계,267270.KQ
844332,레이저 프린터,삼성전자,005930.KS
844339,기타 인쇄기,,
844399,인쇄기 부품,,
845020,세탁기,LG전자,066570.KS
845090,기타 가정용 세탁기,,
845129,건조기,LG전자,066570.KS
845521,금속 절단기,디에이테크놀로지,196490.KQ
845611,플라스틱을 가공하는 주형 제작용 기계,화천기계,A010660
845710,금속을 가공하는 머시닝 센터,화천기계,A010660
845730,금속 절삭용 머시닝 드릴링 기계,한국기계엔지니어링,
845811,선반(금속가공용),화천기계,A010660
845891,드릴링/보링 기계,두산공작기계,
845899,기타 금속 절삭/가공 기계 부품,화천기계,A010660
846229,"굴착기계(유압식, 로터리 타입)",두산밥캣,A241560
846242,펀칭/낫칭 기계,에스앤에스텍,A101490
846262,기타 유압 프레스,디케이락,A105740
846290,기타 금속가공용 기계,화천기계,A010660
846693,기계 부품(금속 절삭용),한화정밀기계,
846729,기타 전동공구,계양전기,A012200
847130,휴대용 자동자료처리기기(노트북 등),삼성전자,A005930
847150,디지털 컴퓨터,삼성전자,A005930
847160,입출력 장치,엘컴텍,A037950
847290,사무기기(기타),엠플러스,A259630
847330,자동자료처리기기용 부품,LG이노텍,A011070
847521,반도체 제조용 장비(노광기 등),ASML코리아,
847710,플라스틱 주입성형기,동신유압,A008110
847950,산업용 로봇,레인보우로보틱스,A277810
847982,혼합기 또는 교반기,씨아이에스,A222080
847989,기타 기계류,한화오션,A042660
847990,기계 부품 및 부속품,화천기계,A010660
848071,플라스틱이나 고무를 위한 금형,우정바이오,A215380
848110,압력 감지용 밸브,한국밸브,A079550
848120,유량 제어 밸브,대성파인텍,A104040
848180,기타 밸브,케이피에프,A024880
848190,밸브 부품,삼영엠텍,A054540
848210,볼 베어링,에이치와이티씨,A148930
848220,원통형 롤러 베어링,문배철강,A008420
848299,기타 베어링 부품,세경하이테크,A148150
848310,전동축,세종공업,A033530
848340,기어와 기어링,현대위아,A011210
848350,플라이휠 및 풀리,삼기,A122350
848390,기타 전동장치 부품,에이텍모빌리티,A224110
848610,반도체 제조용 장비,주성엔지니어링,A036930
848620,LCD/LED 제조 장비,에스에프에이,A056190
848630,평판 디스플레이용 장비,원익IPS,A240810
848640,태양전지 제조 장비,한화솔루션,A009830
848690,반도체 제조용 기계 부속품,원익IPS,240810.KQ
848790,기계류용 기타 부품,,
850110,모터 (출력 ≤ 37.5W),디피씨,026890.KQ
850131,AC 모터 (출력 ≤ 750W),현대일렉트릭,267260.KQ
850153,AC 모터 (출력 > 375kW),,
850213,출력 >75kVA 변압기,현대일렉트릭,267260.KQ
850300,전기 기계류 부품 (부분 조립 등),에코프로비엠,247540.KQ
850421,액체유전체 전력변환기,,
850422,전력용 변압기 (>500kVA),대한전선,001440.KQ
850423,"전력용 변압기 (>10,000kVA)",대한전선,001440.KQ
850434,전류용 변압기,,
850440,전압 안정기 및 정류기,엘앤에프,066970.KQ
850450,유도가열 장치,,
850490,변압기 및 정류기 부품,LS ELECTRIC,010120.KQ
850650,리튬 1차 전지,삼성SDI,006400.KQ
850710,납축전지,세방전지,004490.KQ
850760,리튬이온 축전지,LG에너지솔루션,373220.KQ
850790,전지 부품,엘앤에프,066970.KQ
850819,기타 진공청소기,청호나이스,298690.KQ
851140,시동 모터,현대모비스,012330.KQ
851220,"전조등, 안개등 등 차량용 조명 장치",SL Corporation,005850.KQ
851290,기타 차량용 전기 조명 또는 신호 장치의 부분품,SL Corporation,005850.KQ
851419,기타 전기 저항 가열기,씨아이에스,222080.KQ
851580,전기 가열기 및 유도 가열 장비,유니셈,036200.KQ
851590,전기 용접기 부품,현대일렉트릭,267260.KQ
851660,레이저 가열기,레이,228670.KQ
851713,스마트폰,삼성전자,005930.KS
851762,"라우터, 허브, 게이트웨이 등 네트워크 장비",유비쿼스,264450.KQ
851770,"휴대폰 부품 (배터리, 카메라 모듈 등)",파트론,091700.KQ
851779,기타 통신기기 부품,엠씨넥스,097520.KQ
851780,기타 전화기 또는 통신기기,에이스테크,088800.KQ
852190,광디스크 드라이브,알 수 없음,
852329,광디스크 외의 저장장치,알 수 없음,
852349,기타 비디오 디스크,알 수 없음,
852351,반도체 메모리 카드,삼성전자,005930.KS
852411,영상 녹화 장비,알 수 없음,
852412,비디오 카세트 녹화기,알 수 없음,
852491,레이저 디스크 플레이어,알 수 없음,
852492,비디오 디스크 플레이어,알 수 없음,
852499,기타 비디오 재생장치,알 수 없음,
852580,텔레비전 카메라,삼성전자,005930.KQ
852589,기타 텔레비전 송신기기,LG전자,066570.KQ
852610,레이더 기기,한화시스템,272210.KQ
852721,라디오 방송 수신기,씨에스윈드,112610.KQ
852851,모니터,삼성디스플레이,Unlisted
852852,프로젝터,LG디스플레이,034220.KQ
852859,기타 영상 수신기기,파인디지털,038950.KQ
852872,텔레비전 수신기,코맥스,036690.KQ
852910,안테나,에이스테크,088800.KQ
852990,기타 영상 송수신기기,이노와이어리스,073490.KQ
853224,릴레이,LS ELECTRIC,010120.KQ
853340,기타 스위치 및 제어기기,현대일렉트릭,267270.KQ
853400,저전압 차단기,효성중공업,298040.KQ
853529,퓨즈,비츠로셀,082920.KQ
853530,서지 프로텍터,피에스텍,002230.KQ
853620,개폐기 및 차단기,한전KPS,051600.KQ
853649,제어판,효성중공업,298040.KQ
853650,기타 제어 장치,대한전선,001440.KQ
853669,회로보호장치,LS ELECTRIC,010120.KQ
853690,기타 전기회로장치,대한전선,001440.KQ
853710,제어기기용 보드,LS ELECTRIC,010120.KQ
853720,자동회로 차단기,효성중공업,298040.KQ
853890,기타 회로 보호 또는 접속 장치 부품,코스모신소재,005070.KQ
854110,다이오드(LED 포함),서울반도체,046890.KQ
854121,"단일 트랜지스터, NPN형",리노공업,058470.KQ
854129,기타 트랜지스터,DB하이텍,000990.KQ
854141,멀티칩 집적회로,LX세미콘,108320.KQ
854142,디지털 프로세서,텔레칩스,054450.KQ
854143,아날로그 IC,실리콘웍스,108320.KQ
854149,기타 집적회로,한솔인티큐브,070590.KQ
854159,기타 전자 집적회로,LX세미콘,108320.KQ
854231,메모리 IC,SK하이닉스,000660.KQ
854232,DRAM,삼성전자,005930.KQ
854233,SRAM,SK하이닉스,000660.KQ
854239,기타 메모리,윌로엠씨엔,
854290,기타 전자집적회로 부품,DB하이텍,000990.KQ
854370,기타 전자기기 부품,네패스,033640.KQ
854390,기타 전자부품,에이디테크놀로지,200710.KQ
854411,납땜용 와이어,삼화전자,011230.KQ
854420,코일,아모텍,052710.KQ
854430,"절연 전선, 케이블 등","LS ELECTRIC, 대한전선","010120, 001440"
854442,전기 도체 (커넥터 포함),대원전선,006340
854449,기타 전기 도체,가온전선,000500
854460,광섬유 케이블,우리넷,115440
854470,광통신 모듈,쏠리드,050890
854710,절연된 피팅,비츠로이엠,032850
854720,"퓨즈, 차단기 부품",피앤이솔루션,131390
854890,기타 전기기기 부품,삼화콘덴서,001820
860310,전동차용 객차,현대로템,064350
860500,철도차량 부속품,동양피스톤,092780
860900,철도 유지보수 차량,우진,105840
870191,배기량 ≤ 1500cc 승용차,현대차,005380
870192,1500cc < 배기량 ≤ 3000cc,기아,000270
870193,배기량 > 3000cc 승용차,제네시스,005380
870210,디젤 버스,현대차,005380
870321,배기량 ≤ 1500cc 차량,KG모빌리티,003620
870322,1500cc < 배기량 ≤ 3000cc,현대차,005380
870323,배기량 > 3000cc 차량,기아,000270
870324,"배기량 3,000cc 초과 차량",현대자동차,005380.KQ
870332,"배기량 1,500cc 초과 2,500cc 이하 자동차",기아,000270.KQ
870333,디젤 엔진 자동차,쌍용자동차,
870340,하이브리드 자동차,현대모비스,012330.KQ
870360,기타 엔진 자동차,KG모빌리티,003620.KQ
870380,"화물자동차(디젤, 적재중량 5톤 이하)",현대차,005380.KQ
870421,"화물자동차(디젤, 적재중량 5~20톤)",타타대우,
870422,자동차용 안전벨트 등 부속품,에스엘,005850.KQ
870829,자동차용 브레이크,만도,204320.KQ
870830,자동차용 기어박스,현대트랜시스,018880.KQ
870840,자동차 차축,서연이화,200880.KQ
870850,자동차 휠 및 허브,넥센타이어,002350.KQ
870870,자동차 서스펜션 시스템,씨앤에스링크,
870880,전기 자동차용 부품,LG에너지솔루션,373220.KQ
870893,하이브리드 자동차 부품,만도,204320.KQ
870894,전기차 전장 시스템,현대모비스,012330.KQ
870895,기타 자동차 부품,모트렉스,118990.KQ
870899,오토바이 및 자전거 부품,삼천리자전거,024950.KQ
871000,항공기 프로펠러 및 회전날개,한화에어로스페이스,012450.KQ
880240,우주선 부품,한화시스템,272210.KQ
880730,유조선,한국조선해양,009540.KQ
890110,여객용 선박,현대미포조선,010620
890120,화물용 선박,삼성중공업,010140
890190,기타 선박,대우조선해양,042660
890590,기타 수상 운송 수단,한진중공업,097230
