rank,ticker,측정일,목표주가(원),현재가격(원),Upside(%),β_raw,β_Blume,주주요구수익률 Re(%),부채요구수익률 Rd(%),WACC(%),g_term(%),Moat,NWC정의
29,A009200,2026-06-01,16445.0,1631.0,908.3,0.646,0.763,9.51,0.74,9.51,4.0,No moat,legacy_proxy
30,A298690,2026-06-01,17401.0,1849.0,841.1,0.734,0.822,9.93,10.73,9.93,4.0,No moat,legacy_proxy
31,A003100,2026-06-01,190118.0,20900.0,809.7,0.447,0.63,8.58,1.84,8.58,4.0,No moat,legacy_proxy
32,A015360,2026-06-01,128436.0,15480.0,729.7,0.361,0.572,8.18,0.8,8.18,4.0,No moat,legacy_proxy
33,A007070,2026-06-01,206198.0,25350.0,713.4,0.5,0.665,8.83,1.4,8.83,4.0,No moat,legacy_proxy
34,A284740,2026-06-01,180901.0,22350.0,709.4,0.491,0.659,8.79,1.67,8.79,4.0,No moat,legacy_proxy
35,A011760,2026-06-01,228583.0,28250.0,709.1,0.944,0.963,10.91,0.89,10.91,4.0,No moat,legacy_proxy
36,A002880,2026-06-01,6342.0,800.0,692.8,0.573,0.714,9.17,1.27,9.17,4.0,No moat,legacy_proxy
37,A053210,2026-06-01,35082.0,4480.0,683.1,0.432,0.619,8.51,0.95,8.51,4.0,No moat,legacy_proxy
38,A007540,2026-06-01,349432.0,45550.0,667.1,0.41,0.605,8.41,0.6,8.41,4.0,No moat,legacy_proxy
39,A096760,2026-06-01,28903.0,3790.0,662.6,0.714,0.809,9.83,1.4,9.83,4.0,Some moat,legacy_proxy
40,A052330,2026-06-01,87646.0,11580.0,656.9,0.619,0.745,9.39,2.85,9.39,4.0,No moat,legacy_proxy
41,A034310,2026-06-01,90676.0,12240.0,640.8,0.436,0.622,8.53,0.93,8.53,4.0,No moat,legacy_proxy
42,A019210,2026-06-01,120583.0,16370.0,636.6,0.847,0.898,10.46,1.04,10.46,4.0,No moat,legacy_proxy
43,A036460,2026-06-01,261027.0,35500.0,635.3,0.721,0.813,9.86,0.89,9.86,4.0,No moat,legacy_proxy
44,A009970,2026-06-01,1418758.0,195500.0,625.7,0.574,0.714,9.17,0.81,9.17,4.0,Some moat,legacy_proxy
45,A051160,2026-06-01,57293.0,7920.0,623.4,0.744,0.828,9.97,5.34,9.97,4.0,Narrow moat,legacy_proxy
46,A094280,2026-06-01,89013.0,12320.0,622.5,0.464,0.641,8.66,1.26,8.66,4.0,Some moat,legacy_proxy
47,A001040,2026-06-01,1185198.0,164600.0,620.0,0.816,0.877,10.31,2.93,10.31,4.0,No moat,legacy_proxy
48,A014130,2026-06-01,16237.0,2390.0,579.4,0.591,0.726,9.26,0.72,9.26,0.0,No moat,legacy_proxy
49,A014790,2026-06-01,20325.0,2995.0,578.6,0.794,0.862,10.21,1.71,10.21,4.0,No moat,legacy_proxy
50,A213500,2026-06-01,45053.0,6650.0,577.5,0.479,0.651,8.73,0.77,8.73,4.0,No moat,legacy_proxy
51,A017940,2026-06-01,589269.0,87300.0,575.0,0.546,0.696,9.04,0.79,9.04,4.0,No moat,legacy_proxy
52,A139480,2026-06-01,583938.0,87100.0,570.4,0.638,0.758,9.48,0.99,9.48,4.0,No moat,legacy_proxy
53,A267250,2026-06-01,1844573.0,275500.0,569.5,0.887,0.924,10.65,0.92,10.65,4.0,No moat,legacy_proxy
54,A005990,2026-06-01,83511.0,12480.0,569.2,0.426,0.616,8.48,0.76,8.48,4.0,No moat,legacy_proxy
55,A009810,2026-06-01,13284.0,1989.0,567.9,0.124,0.413,7.07,4.33,7.07,0.0,No moat,legacy_proxy
56,A012630,2026-06-01,146046.0,22000.0,563.8,0.651,0.766,9.54,0.88,9.54,4.0,No moat,legacy_proxy
57,A007980,2026-06-01,11754.0,1815.0,547.6,0.715,0.809,9.84,1.06,9.84,4.0,No moat,legacy_proxy
58,A194370,2026-06-01,73156.0,11330.0,545.7,0.77,0.846,10.09,0.89,10.09,4.0,No moat,legacy_proxy
59,A004690,2026-06-01,805681.0,125700.0,541.0,0.421,0.612,8.46,0.89,8.46,4.0,No moat,legacy_proxy
60,A069730,2026-06-01,33105.0,5230.0,533.0,0.859,0.905,10.51,0.79,10.51,4.0,No moat,legacy_proxy
61,A244920,2026-06-01,66147.0,10520.0,528.8,0.43,0.618,8.5,1.37,8.5,4.0,Some moat,legacy_proxy
62,A073240,2026-06-01,29213.0,4750.0,515.0,0.753,0.834,10.01,1.26,10.01,4.0,No moat,legacy_proxy
63,A003960,2026-06-01,174949.0,28550.0,512.8,0.682,0.787,9.68,1.29,9.68,4.0,No moat,legacy_proxy
64,A051500,2026-06-01,140837.0,23000.0,512.3,0.673,0.781,9.64,5.62,9.64,4.0,Some moat,legacy_proxy
65,A067990,2026-06-01,26735.0,4390.0,509.0,0.657,0.77,9.57,1.07,9.57,4.0,No moat,legacy_proxy
66,A058850,2026-06-01,15305.0,2530.0,504.9,0.671,0.779,9.63,5.14,9.63,4.0,Narrow moat,legacy_proxy
67,A036030,2026-06-01,28149.0,4665.0,503.4,0.659,0.772,9.58,4.61,9.58,4.0,Some moat,legacy_proxy
68,A004450,2026-06-01,159323.0,26500.0,501.2,0.318,0.543,7.97,0.74,7.97,4.0,No moat,legacy_proxy
69,A021320,2026-06-01,32785.0,5500.0,496.1,0.788,0.858,10.18,1.19,10.18,4.0,No moat,legacy_proxy
70,A000140,2026-06-01,50601.0,8510.0,494.6,0.454,0.634,8.61,0.98,8.61,4.0,No moat,legacy_proxy
71,A282330,2026-06-01,732070.0,123700.0,491.8,0.39,0.591,8.31,20.0,8.31,4.0,Narrow moat,legacy_proxy
72,A037460,2026-06-01,268647.0,45500.0,490.4,0.992,0.995,11.14,1.02,11.14,4.0,No moat,legacy_proxy
73,A001800,2026-06-01,148223.0,25150.0,489.4,0.523,0.681,8.94,0.75,8.94,4.0,No moat,legacy_proxy
74,A001120,2026-06-01,245235.0,42650.0,475.0,0.775,0.849,10.12,0.78,10.12,4.0,No moat,legacy_proxy
75,A004980,2026-06-01,52653.0,9220.0,471.1,0.861,0.907,10.52,1.05,10.52,4.0,No moat,legacy_proxy
76,A000050,2026-06-01,50373.0,8900.0,466.0,0.544,0.695,9.04,0.85,9.04,4.0,No moat,legacy_proxy
77,A017810,2026-06-01,58175.0,10360.0,461.5,0.557,0.703,9.1,1.25,9.1,4.0,No moat,legacy_proxy
78,A002350,2026-06-01,36424.0,6550.0,456.1,0.758,0.838,10.04,0.67,10.04,4.0,No moat,legacy_proxy
79,A214320,2026-06-01,112117.0,20300.0,452.3,0.475,0.649,8.71,2.87,8.71,4.0,Wide moat,legacy_proxy
80,A194700,2026-06-01,87474.0,15840.0,452.2,0.486,0.655,8.76,2.66,8.76,4.0,Narrow moat,legacy_proxy
81,A036580,2026-06-01,14111.0,2580.0,447.0,0.682,0.787,9.68,0.63,9.68,4.0,No moat,legacy_proxy
82,A101330,2026-06-01,24021.0,4400.0,445.9,0.972,0.982,11.04,1.31,11.04,4.0,No moat,legacy_proxy
83,A008250,2026-06-01,17582.0,3225.0,445.2,0.794,0.862,10.21,1.09,10.21,4.0,No moat,legacy_proxy
84,A036530,2026-06-01,283485.0,52000.0,445.2,0.556,0.702,9.09,2.85,9.09,4.0,Some moat,legacy_proxy
85,A016880,2026-06-01,11860.0,2190.0,441.6,0.66,0.772,9.58,1.49,9.58,4.0,No moat,legacy_proxy
86,A010770,2026-06-01,25327.0,4685.0,440.6,0.7,0.799,9.77,1.49,9.77,4.0,No moat,legacy_proxy
87,A006980,2026-06-01,103743.0,19310.0,437.2,0.605,0.735,9.32,0.82,9.32,4.0,No moat,legacy_proxy
88,A030720,2026-06-01,32856.0,6130.0,436.0,0.55,0.699,9.07,0.89,9.07,4.0,No moat,legacy_proxy
89,A032640,2026-06-01,77293.0,15070.0,412.9,0.408,0.604,8.4,1.01,8.4,4.0,No moat,legacy_proxy
90,A089470,2026-06-01,21714.0,4245.0,411.5,0.803,0.868,10.25,0.98,10.25,4.0,No moat,legacy_proxy
91,A015890,2026-06-01,24562.0,4910.0,400.2,0.469,0.644,8.68,0.81,8.68,4.0,No moat,legacy_proxy
92,A036800,2026-06-01,139024.0,27850.0,399.2,0.519,0.678,8.92,1.45,8.92,4.0,Narrow moat,legacy_proxy
93,A012800,2026-06-01,7510.0,1510.0,397.4,0.902,0.934,10.71,1.03,10.71,4.0,No moat,legacy_proxy
94,A000660,2026-06-01,11313325.0,2289000.0,394.2,1.422,1.283,13.15,0.82,13.15,4.0,Some moat,legacy_proxy
95,A009180,2026-06-01,14126.0,2890.0,388.8,0.779,0.852,10.14,1.84,10.14,4.0,No moat,legacy_proxy
96,A035810,2026-06-01,23541.0,4835.0,386.9,0.863,0.908,10.53,1.04,10.53,4.0,No moat,legacy_proxy
97,A007340,2026-06-01,211244.0,44000.0,380.1,0.467,0.643,8.68,0.65,8.68,4.0,No moat,legacy_proxy
98,A004140,2026-06-01,10297.0,2160.0,376.7,0.709,0.805,9.81,4.79,9.81,4.0,No moat,legacy_proxy
99,A013520,2026-06-01,12771.0,2720.0,369.5,0.77,0.846,10.09,1.15,10.09,4.0,No moat,legacy_proxy
100,A052420,2026-06-01,55469.0,11830.0,368.9,0.839,0.892,10.42,1.04,10.42,4.0,No moat,legacy_proxy
101,A004960,2026-06-01,55211.0,11930.0,362.8,0.855,0.903,10.49,1.6,10.49,4.0,No moat,legacy_proxy
102,A007310,2026-06-01,1561923.0,339000.0,360.7,0.38,0.585,8.27,0.77,8.27,4.0,No moat,legacy_proxy
103,A122900,2026-06-01,34218.0,7450.0,359.3,0.479,0.651,8.73,1.09,8.73,4.0,No moat,legacy_proxy
104,A108670,2026-06-01,158451.0,34550.0,358.6,0.747,0.83,9.99,0.79,9.99,4.0,No moat,legacy_proxy
105,A007210,2026-06-01,7797.0,1709.0,356.2,0.856,0.903,10.5,1.09,10.5,4.0,No moat,legacy_proxy
106,A248170,2026-06-01,110341.0,24200.0,356.0,0.543,0.694,9.03,0.55,9.03,4.0,No moat,legacy_proxy
107,A000480,2026-06-01,21638.0,4765.0,354.1,0.267,0.509,7.74,0.98,7.74,4.0,No moat,legacy_proxy
108,A005740,2026-06-01,29360.0,6470.0,353.8,0.678,0.784,9.66,1.07,9.66,4.0,No moat,legacy_proxy
109,A086980,2026-06-01,12271.0,2740.0,347.9,0.881,0.92,10.62,7.09,10.62,4.0,No moat,legacy_proxy
110,A003680,2026-06-01,20967.0,4710.0,345.2,0.571,0.712,9.16,1.05,9.16,4.0,No moat,legacy_proxy
111,A255440,2026-06-01,42117.0,9510.0,342.9,0.954,0.969,10.96,1.37,10.96,4.0,No moat,legacy_proxy
112,A081660,2026-06-01,168927.0,38250.0,341.6,0.653,0.768,9.55,1.16,9.55,4.0,No moat,legacy_proxy
113,A006650,2026-06-01,564743.0,128300.0,340.2,1.057,1.038,11.44,0.92,11.44,4.0,No moat,legacy_proxy
114,A122450,2026-06-01,13074.0,2990.0,337.3,0.597,0.73,9.29,1.45,9.29,4.0,No moat,legacy_proxy
115,A004430,2026-06-01,48044.0,10990.0,337.2,0.851,0.9,10.48,1.13,10.48,4.0,No moat,legacy_proxy
116,A227840,2026-06-01,54772.0,12650.0,333.0,0.646,0.763,9.51,1.33,9.51,4.0,No moat,legacy_proxy
117,A143160,2026-06-01,70747.0,16390.0,331.6,0.721,0.813,9.87,1.34,9.87,4.0,No moat,legacy_proxy
118,A000590,2026-06-01,330762.0,76900.0,330.1,0.405,0.602,8.39,0.74,8.39,4.0,No moat,legacy_proxy
119,A014530,2026-06-01,14384.0,3370.0,326.8,0.172,0.445,7.29,0.79,7.29,4.0,No moat,legacy_proxy
120,A005880,2026-06-01,9799.0,2325.0,321.5,0.857,0.904,10.5,3.5,10.5,4.0,No moat,legacy_proxy
121,A142210,2026-06-01,33141.0,7890.0,320.0,1.225,1.151,12.23,1.34,12.23,4.0,No moat,legacy_proxy
122,A016740,2026-06-01,19825.0,4725.0,319.6,0.863,0.909,10.53,1.17,10.53,4.0,No moat,legacy_proxy
123,A293940,2026-06-01,22516.0,5370.0,319.3,0.176,0.448,7.31,0.92,7.31,4.0,No moat,legacy_proxy
124,A003300,2026-06-01,67902.0,16240.0,318.1,0.421,0.612,8.46,1.25,8.46,4.0,No moat,legacy_proxy
125,A214180,2026-06-01,69971.0,16900.0,314.0,0.834,0.889,10.4,3.46,10.4,4.0,Wide moat,legacy_proxy
126,A023450,2026-06-01,118393.0,28900.0,309.7,0.13,0.417,7.09,0.67,7.09,4.0,Some moat,legacy_proxy
127,A008870,2026-06-01,178240.0,43800.0,306.9,0.392,0.593,8.32,0.95,8.32,4.0,No moat,legacy_proxy
128,A066620,2026-06-01,100279.0,24850.0,303.5,0.65,0.765,9.53,1.18,9.53,4.0,Narrow moat,legacy_proxy
129,A037560,2026-06-01,8521.0,2130.0,300.1,0.73,0.819,9.91,0.79,9.91,4.0,No moat,legacy_proxy
130,A006090,2026-06-01,32232.0,8110.0,297.4,0.448,0.63,8.58,0.9,8.58,4.0,No moat,legacy_proxy
131,A192080,2026-06-01,278191.0,70000.0,297.4,0.539,0.691,9.01,1.85,9.01,4.0,Narrow moat,legacy_proxy
132,A004970,2026-06-01,35940.0,9260.0,288.1,0.369,0.578,8.22,0.76,8.22,4.0,No moat,legacy_proxy
133,A267290,2026-06-01,85865.0,22150.0,287.7,0.382,0.586,8.28,1.35,8.28,4.0,No moat,legacy_proxy
134,A267980,2026-06-01,132746.0,34300.0,287.0,0.411,0.605,8.41,0.6,8.41,4.0,No moat,legacy_proxy
135,A057050,2026-06-01,310824.0,80500.0,286.1,0.553,0.701,9.08,0.8,9.08,4.0,No moat,legacy_proxy
136,A049520,2026-06-01,14628.0,3805.0,284.4,0.547,0.697,9.05,0.87,9.05,4.0,Some moat,legacy_proxy
137,A009160,2026-06-01,19669.0,5120.0,284.2,0.707,0.804,9.8,0.84,9.8,4.0,No moat,legacy_proxy
138,A234080,2026-06-01,44315.0,11560.0,283.3,0.598,0.731,9.29,0.97,9.29,4.0,No moat,legacy_proxy
139,A268280,2026-06-01,379280.0,99000.0,283.1,0.125,0.414,7.07,0.51,7.07,4.0,Some moat,legacy_proxy
140,A123700,2026-06-01,13577.0,3595.0,277.7,0.676,0.783,9.66,1.81,9.66,4.0,No moat,legacy_proxy
141,A155660,2026-06-01,15869.0,4205.0,277.4,0.757,0.837,10.03,1.13,10.03,4.0,No moat,legacy_proxy
142,A037710,2026-06-01,129139.0,34700.0,272.2,0.401,0.599,8.37,0.77,8.37,4.0,No moat,legacy_proxy
143,A044820,2026-06-01,67861.0,18290.0,271.0,0.681,0.786,9.68,0.98,9.68,4.0,No moat,legacy_proxy
144,A006040,2026-06-01,129858.0,35200.0,268.9,0.48,0.652,8.74,1.0,8.74,4.0,No moat,legacy_proxy
145,A009780,2026-06-01,23753.0,6470.0,267.1,0.561,0.706,9.11,0.92,9.11,4.0,No moat,legacy_proxy
146,A014580,2026-06-01,15690.0,4350.0,260.7,0.765,0.842,10.07,0.7,10.07,4.0,No moat,legacy_proxy
147,A073560,2026-06-01,5783.0,1605.0,260.3,0.659,0.772,9.58,1.1,9.58,4.0,No moat,legacy_proxy
148,A128820,2026-06-01,21598.0,6030.0,258.2,0.586,0.723,9.23,1.38,9.23,4.0,No moat,legacy_proxy
149,A259960,2026-06-01,907790.0,255500.0,255.3,0.618,0.744,9.38,11.8,9.38,4.0,No moat,legacy_proxy
150,A134380,2026-06-01,36545.0,10300.0,254.8,0.194,0.46,7.39,0.08,7.39,4.0,Wide moat,legacy_proxy
151,A053300,2026-06-01,19679.0,5570.0,253.3,0.905,0.936,10.73,5.71,10.73,4.0,No moat,legacy_proxy
152,A033250,2026-06-01,14882.0,4230.0,251.8,1.252,1.169,12.35,1.19,12.35,4.0,No moat,legacy_proxy
153,A019180,2026-06-01,29845.0,8500.0,251.1,1.006,1.004,11.2,1.34,11.2,4.0,Some moat,legacy_proxy
154,A068930,2026-06-01,28257.0,8050.0,251.0,0.331,0.552,8.04,1.22,8.04,4.0,Some moat,legacy_proxy
155,A042500,2026-06-01,15744.0,4490.0,250.6,0.783,0.854,10.15,0.59,10.15,4.0,No moat,legacy_proxy
156,A005750,2026-06-01,16612.0,4750.0,249.7,0.681,0.786,9.68,1.05,9.68,4.0,No moat,legacy_proxy
157,A203650,2026-06-01,12018.0,3485.0,244.9,1.02,1.013,11.27,1.3,11.27,4.0,No moat,legacy_proxy
158,A006060,2026-06-01,9791.0,2850.0,243.5,0.708,0.805,9.81,1.03,9.81,4.0,No moat,legacy_proxy
159,A023800,2026-06-01,22447.0,6620.0,239.1,0.91,0.94,10.75,1.32,10.75,4.0,No moat,legacy_proxy
160,A015860,2026-06-01,31964.0,9450.0,238.2,1.119,1.08,11.73,0.86,11.73,4.0,No moat,legacy_proxy
161,A008040,2026-06-01,3101.0,924.0,235.6,0.521,0.679,8.93,1.06,8.93,4.0,No moat,legacy_proxy
162,A253450,2026-06-01,88402.0,26350.0,235.5,0.606,0.736,9.32,4.41,9.32,4.0,No moat,legacy_proxy
163,A003650,2026-06-01,419543.0,125500.0,234.3,0.266,0.508,7.73,0.94,7.73,4.0,No moat,legacy_proxy
164,A067280,2026-06-01,85497.0,25600.0,234.0,0.481,0.652,8.74,2.94,8.74,4.0,Wide moat,legacy_proxy
165,A027710,2026-06-01,3933.0,1181.0,233.0,0.527,0.683,8.96,1.03,8.96,4.0,No moat,legacy_proxy
166,A005500,2026-06-01,69534.0,20950.0,231.9,0.516,0.676,8.9,0.93,8.9,4.0,No moat,legacy_proxy
167,A072710,2026-06-01,306341.0,92500.0,231.2,0.377,0.583,8.25,0.83,8.25,4.0,No moat,legacy_proxy
168,A001130,2026-06-01,38986.0,11820.0,229.8,0.391,0.592,8.32,0.47,8.32,4.0,No moat,legacy_proxy
169,A097950,2026-06-01,664904.0,204000.0,225.9,0.589,0.725,9.25,3.1,9.25,4.0,No moat,legacy_proxy
170,A011560,2026-06-01,74736.0,23050.0,224.2,0.8,0.866,10.24,0.91,10.24,4.0,Some moat,legacy_proxy
171,A031440,2026-06-01,138949.0,42900.0,223.9,0.514,0.675,8.9,1.02,8.9,4.0,No moat,legacy_proxy
172,A002140,2026-06-01,7264.0,2250.0,222.9,0.566,0.709,9.14,0.94,9.14,4.0,No moat,legacy_proxy
173,A353810,2026-06-01,20850.0,6490.0,221.3,0.561,0.706,9.11,0.9,9.11,4.0,Some moat,legacy_proxy
174,A007280,2026-06-01,8002.0,2495.0,220.7,0.648,0.764,9.52,1.44,9.52,4.0,No moat,legacy_proxy
175,A030000,2026-06-01,58605.0,18310.0,220.1,0.525,0.682,8.95,2.74,8.95,4.0,Wide moat,legacy_proxy
176,A025820,2026-06-01,17390.0,5490.0,216.8,1.057,1.038,11.44,0.99,11.44,4.0,No moat,legacy_proxy
177,A256940,2026-06-01,21054.0,6650.0,216.6,0.823,0.881,10.34,5.65,10.34,4.0,No moat,legacy_proxy
178,A036620,2026-06-01,15575.0,4920.0,216.6,0.521,0.679,8.93,9.86,8.93,4.0,Wide moat,legacy_proxy
179,A077500,2026-06-01,24058.0,7600.0,216.6,1.177,1.118,12.0,0.53,12.0,4.0,No moat,legacy_proxy
180,A015230,2026-06-01,19680.0,6220.0,216.4,0.604,0.735,9.32,0.95,9.32,4.0,Some moat,legacy_proxy
181,A093050,2026-06-01,72208.0,22850.0,216.0,0.582,0.72,9.21,0.85,9.21,4.0,No moat,legacy_proxy
182,A033500,2026-06-01,66707.0,21150.0,215.4,0.826,0.884,10.36,1.3,10.36,4.0,Narrow moat,legacy_proxy
183,A215200,2026-06-01,126054.0,40100.0,214.3,0.574,0.714,9.17,2.18,9.17,4.0,Narrow moat,legacy_proxy
184,A004100,2026-06-01,9095.0,2915.0,212.0,0.689,0.792,9.72,1.46,9.72,4.0,No moat,legacy_proxy
185,A023350,2026-06-01,14713.0,4725.0,211.4,0.673,0.781,9.64,0.97,9.64,4.0,No moat,legacy_proxy
186,A015760,2026-06-01,121169.0,39050.0,210.3,0.633,0.754,9.45,0.83,9.45,4.0,No moat,legacy_proxy
187,A317400,2026-06-01,11849.0,3820.0,210.2,0.651,0.766,9.54,1.61,9.54,4.0,No moat,legacy_proxy
188,A001790,2026-06-01,7950.0,2565.0,209.9,0.427,0.616,8.49,0.91,8.49,4.0,No moat,legacy_proxy
189,A072950,2026-06-01,40031.0,12980.0,208.4,0.927,0.951,10.83,0.95,10.83,4.0,No moat,legacy_proxy
190,A136480,2026-06-01,9019.0,2925.0,208.3,0.527,0.683,8.95,0.74,8.95,4.0,No moat,legacy_proxy
191,A035510,2026-06-01,46395.0,15080.0,207.7,0.848,0.898,10.46,2.22,10.46,4.0,No moat,legacy_proxy
192,A014440,2026-06-01,13602.0,4490.0,202.9,0.503,0.667,8.84,0.68,8.84,4.0,No moat,legacy_proxy
193,A300080,2026-06-01,25311.0,8430.0,200.2,1.126,1.084,11.76,4.12,11.76,4.0,No moat,legacy_proxy
194,A012280,2026-06-01,2767.0,933.0,196.6,0.717,0.81,9.85,0.95,9.85,4.0,No moat,legacy_proxy
195,A037350,2026-06-01,29276.0,9890.0,196.0,0.873,0.915,10.58,1.78,10.58,4.0,No moat,legacy_proxy
196,A133820,2026-06-01,3786.0,1285.0,194.7,0.809,0.872,10.28,3.9,10.28,4.0,No moat,legacy_proxy
197,A093240,2026-06-01,2255.0,766.0,194.4,0.719,0.812,9.86,1.64,9.86,4.0,No moat,legacy_proxy
198,A136540,2026-06-01,32060.0,10930.0,193.3,0.506,0.669,8.86,2.71,8.86,4.0,Narrow moat,legacy_proxy
199,A008060,2026-06-01,62842.0,21450.0,193.0,0.692,0.794,9.73,0.73,9.73,4.0,No moat,legacy_proxy
200,A072870,2026-06-01,37290.0,12750.0,192.5,0.412,0.606,8.41,2.2,8.41,4.0,No moat,legacy_proxy
201,A036420,2026-06-01,14828.0,5080.0,191.9,0.812,0.874,10.29,1.83,10.29,4.0,No moat,legacy_proxy
202,A049720,2026-06-01,28133.0,9670.0,190.9,0.113,0.405,7.01,0.94,7.01,4.0,Wide moat,legacy_proxy
203,A036190,2026-06-01,91249.0,31650.0,188.3,0.34,0.558,8.08,1.01,8.08,4.0,Some moat,legacy_proxy
204,A170920,2026-06-01,113106.0,39250.0,188.2,1.181,1.121,12.02,2.01,12.02,4.0,No moat,legacy_proxy
205,A078070,2026-06-01,35405.0,12390.0,185.8,0.737,0.824,9.94,0.66,9.94,4.0,No moat,legacy_proxy
206,A000230,2026-06-01,22511.0,7890.0,185.3,0.666,0.777,9.61,1.63,9.61,4.0,No moat,legacy_proxy
207,A200670,2026-06-01,80493.0,28300.0,184.4,0.843,0.895,10.44,4.31,10.44,4.0,Some moat,legacy_proxy
208,A025530,2026-06-01,10041.0,3540.0,183.6,0.519,0.678,8.92,1.14,8.92,4.0,No moat,legacy_proxy
209,A002900,2026-06-01,20216.0,7130.0,183.5,0.901,0.934,10.71,1.05,10.71,4.0,No moat,legacy_proxy
210,A163560,2026-06-01,18911.0,6740.0,180.6,0.693,0.794,9.73,0.86,9.73,4.0,No moat,legacy_proxy
211,A000430,2026-06-01,13328.0,4755.0,180.3,0.687,0.79,9.71,1.02,9.71,4.0,No moat,legacy_proxy
212,A003380,2026-06-01,31754.0,11330.0,180.3,1.027,1.018,11.3,1.26,11.3,4.0,No moat,legacy_proxy
213,A000240,2026-06-01,67284.0,24100.0,179.2,0.729,0.819,9.9,0.79,9.9,4.0,No moat,legacy_proxy
214,A950170,2026-06-01,13424.0,4880.0,175.1,0.701,0.8,9.77,0.79,9.77,4.0,No moat,legacy_proxy
215,A101530,2026-06-01,17126.0,6240.0,174.5,0.605,0.735,9.32,1.1,9.32,4.0,No moat,legacy_proxy
216,A001680,2026-06-01,52318.0,19100.0,173.9,0.539,0.691,9.01,0.87,9.01,4.0,No moat,legacy_proxy
217,A129260,2026-06-01,5546.0,2045.0,171.2,0.645,0.762,9.51,1.08,9.51,4.0,No moat,legacy_proxy
